Z,band1,band2,band3
6.670000076,2.849823461,4.642345499,3.512423158
2,5.035901402,5.667958301,4.91550183
3.059999943,4.503766759,5.231301899,4.329871759
4.599999905,2.711746619,4.959284115,4.536610695
2.630000114,4.507958274,4.90135172,2.57322345
5.909999847,3.054837692,4.940229744,4.342307267
2.279999971,4.586135172,4.958559315,3.257004808
3.640000105,3.621352408,4.784676096,3.388831699
3,3.718671423,5.059114822,3.593736671
1.370000005,5.227640987,5.791874809,4.980545118
1.820000052,4.52588172,5.466146082,4.675171461
3.829999924,3.890957998,5.231169073,4.491710106
5.820000172,3.019972625,4.610921752,3.3160119
1.340000033,5.288719395,5.641749162,4.577049203
2.099999905,4.227036874,5.472993245,4.617647697
3.630000114,3.731472866,5.281026605,4.579770926
2.220000029,4.382122125,4.712595343,2.163404822
2.869999886,4.062945842,5.003001132,3.826331436
6.909999847,2.852795171,4.552110981,3.771497323
4.179999828,3.211532649,4.578683962,3.352519353
3.619999886,3.707380873,5.181500519,4.338386313
6.789999962,2.702674851,4.570371553,3.929340877
3.450000048,4.399530701,5.174324222,4.187834424
2.569999933,3.665838316,4.917750555,3.964471018
4.429999828,3.381689712,4.961290104,3.97940309
2.279999971,4.728325332,5.21380188,4.106126891
2.069999933,4.088950304,5.032731299,3.806717308
2.650000095,3.503084114,4.381070511,0.650481257
2.25999999,4.741263805,5.127298365,3.883490257
2.779999971,3.941751552,4.904866411,3.20814569
2.390000105,4.627472801,5.564955715,4.720636022
3.029999971,4.443627008,5.058739636,3.487045622
2.069999933,4.361308861,5.260738924,4.232792889
2.039999962,4.793339174,5.460621064,4.527922832
4.639999866,2.931860243,4.870623772,4.176826127
5.96999979,3.500216513,4.212111262,0.925129836
7.230000019,3.289753623,4.328282939,2.745967776
2.390000105,4.297424073,5.319943815,4.430983094
4.329999924,2.786548659,4.819384983,3.992540445
4.110000134,3.283090341,5.199440073,4.642640607
5.860000134,2.78432672,4.69524105,3.931992326
6.650000095,2.737168633,4.40996149,2.541222594
8.970000267,5.1897105,5.468199606,5.146825305
1.929999948,4.456134635,4.896118155,2.052091725
3.549999952,3.28953396,5.288324701,4.860819316
3.730000019,3.306505218,5.305553658,4.858333282
5.570000172,3.439059222,4.484483276,1.307129912
2.950000048,4.088839011,5.040422454,3.869145448
1.860000014,4.535613678,5.462398463,4.594578271
3.220000029,4.120420835,5.232875457,4.184384546
2.25,5.064660975,5.607507087,4.55684608
5.340000153,3.479315606,4.202944744,1.771638649
2.589999914,3.830924088,5.291205675,4.627119289
2.039999962,4.397133714,5.120934107,3.67310039
5.340000153,2.646952823,4.798297702,4.314911983
3.660000086,3.966470942,5.26422143,4.225318888
2.400000095,4.289680576,5.307984999,4.482059867
2.349999905,4.408490101,5.490584988,4.66596252
3.529999971,3.504517829,5.516574273,5.145556853
3.230000019,3.54617033,5.299485504,4.602581201
3.529999971,3.969035544,4.587974329,0.148386586
3.059999943,4.058646283,5.169714917,4.127615449
5.25,4.28944141,4.721301528,3.838118196
4.400000095,3.603228946,5.221658655,4.606401625
4.679999828,3.356658728,5.330780512,4.841636308
3.50999999,3.848942871,4.704105968,1.573330993
2.369999886,3.963816182,4.799221892,2.575617027
2.5,3.914332001,4.992008401,3.865399592
5.269999981,2.838349892,4.886238779,4.272452302
4.860000134,3.536402759,4.950293692,4.023191709
3.779999971,4.15175266,4.485958892,-2.415926784
2.299999952,4.373375498,4.844299766,3.100690865
1.350000024,5.342785482,5.92883398,5.177320998
2.640000105,4.152288944,5.286630937,4.424865705
2.680000067,4.085744777,4.896068958,3.342027566
1.980000019,4.300754886,5.140646435,4.000031178
1.779999971,4.267666513,5.167592043,3.975482105
6.289999962,2.785439896,4.613958896,3.406586202
3.859999895,3.269999415,5.252920644,4.607531778
3.849999905,3.65006293,4.683200544,2.1043643
1.409999967,4.110323786,4.819710934,3.208348434
5.320000172,2.995819506,4.67553437,3.48917926
3.619999886,3.726591977,5.174708934,4.307749198
3.25999999,4.120420835,5.232875457,4.184384546
3.609999895,3.992621458,5.36922103,4.658281781
1.730000019,4.534552675,5.375304321,4.368479721
3.99000001,3.589445558,5.395791394,4.834816731
1.799999952,4.335165808,5.178767446,3.981711912
2.460000038,3.81903883,4.523663776,1.174338024
2.380000114,4.235891092,5.098033846,3.977962818
1.340000033,4.04041137,4.919823248,3.445060298
2.119999886,4.02900191,4.582362144,1.157038686
3.420000076,3.51798558,5.435797253,4.958657189
2.869999886,3.938794277,5.307598626,4.569467022
1.830000043,4.507075576,5.42841763,4.564122251
4.349999905,2.678844995,5.094799257,4.704618289
4.150000095,3.591434772,5.387054055,4.779336016
5.880000114,3.145210541,4.790101037,3.758368199
2.690000057,4.457692962,4.993077926,3.211937001
2.019999981,4.600957124,5.21125241,4.228787911
2.390000105,3.623665503,4.377009115,0.639219394
5.28000021,3.582659121,4.442526473,2.536709536
5.860000134,3.414898779,4.482909347,2.046791316
2.289999962,4.037169963,5.412153768,4.744504171
7.260000229,3.675710372,5.034525198,4.650577049
3.24000001,3.376495788,5.030708115,4.153245516
4.25,2.890489646,4.992480977,4.472195094
3.569999933,3.39524115,5.087972787,4.181090203
6.380000114,2.970507586,4.664147443,3.826322373
2.390000105,4.479111371,5.335367171,3.957093385
1.080000043,4.424865725,5.872660384,5.42328681
1.190000057,4.281677245,5.222967202,4.205632743
3.150000095,3.851188564,5.354602724,4.657933837
3.299999952,4.160965644,5.236936585,4.180468115
2.829999924,4.459792466,5.390384608,4.335357404
1.960000038,4.373315427,5.681307669,5.056271582
2.059999943,4.244429965,4.676077581,1.568763156
3.019999981,3.702663682,5.005629772,4.200269583
2.049999952,4.377552837,5.23560887,4.32173576
3.579999924,3.847813481,5.195012656,4.022489505
2.109999895,4.527915142,5.368052855,4.22124292
3.549999952,4.079468727,4.804060803,2.886135312
5.570000172,3.337012781,4.774676193,3.674629434
1.779999971,4.374336784,5.153716442,3.919937413
2.150000095,4.469903047,5.240439916,4.003589895
2.680000067,4.033968932,4.882111614,3.165513757
2.74000001,4.428757553,4.977186977,3.257992783
3.190000057,3.935422525,5.195201869,4.22788855
3.579999924,3.477829789,5.388346764,4.882890284
3.099999905,3.895936414,4.728539559,1.947660164
5.039999962,2.662839186,4.919608307,4.437935652
6.170000076,3.380272846,4.76380382,3.66721698
4.199999809,3.731114598,5.156704689,4.220310122
3.230000019,4.238467488,5.368840313,4.491982722
2.5,3.753433019,4.56386859,2.590472096
1.720000029,3.581484222,4.497290546,1.475630125
6.989999771,3.128681868,4.837854517,4.098758713
2.049999952,4.795544852,5.470849925,4.625619836
4.260000229,3.442728418,4.693681496,2.828418321
6,3.293261809,4.762648794,3.507183261
3.00999999,3.839591679,4.545048489,2.601543322
5.019999981,3.282419078,4.888511937,3.991648241
2.940000057,4.157855216,5.246720799,4.368223911
2.210000038,4.298145218,4.678626338,0.538730181
4.28000021,3.63578464,5.250867714,4.623071384
2.529999971,3.908396478,5.45476489,4.914372142
4.25,4.164224426,5.146647578,3.869506083
4.880000114,3.225694685,4.722124714,2.862154317
2.00999999,4.573022743,5.432798296,4.508518652
2.24000001,3.902257622,4.869159497,3.425259581
3.329999924,3.447379997,5.380839207,4.892108684
2.130000114,4.464876753,5.515382625,4.713106074
2.059999943,4.152801502,5.119670183,4.208792209
2.680000067,4.258290781,5.424214209,4.73721499
2.680000067,4.220791375,5.042233204,3.610270255
2.549999952,3.545663605,4.445654925,1.4827444
1.480000019,3.566406005,4.436470279,0.268291049
4.840000153,2.882078435,4.977255964,4.312689727
5.179999828,3.418050469,4.919749891,4.022793942
5.96999979,3.054837692,4.941603973,4.367690628
3.599999905,4.166839553,4.936974295,3.590670336
3.329999924,3.672005678,5.441410401,4.812911468
2.880000114,3.723635499,5.237300239,4.445475579
5.690000057,3.175398441,4.678379383,3.125630897
2.710000038,4.29241318,5.485764374,4.777603617
4.260000229,3.442728418,4.693681496,2.828418321
3.119999886,3.943949969,5.043032774,3.547062526
6.989999771,3.48307026,4.185356144,3.228873476
3.690000057,3.85193234,5.291408187,4.197283796
7.170000076,2.859616097,4.67987808,4.043410663
2.779999971,3.937077007,4.865883192,3.114149797
2.220000029,4.390414911,4.788312214,2.414391638
2.910000086,3.734264188,5.218747749,4.46747109
3.220000029,3.86608111,5.152600204,4.341476147
3.799999952,3.810855914,4.997833109,3.573979596
4.380000114,3.749204694,5.293935258,4.861506035
2.25,4.218547983,5.218596306,4.210662377
5.420000076,2.822487663,5.24104574,4.806745443
1.610000014,4.069279418,5.5947457,4.985451769
2.279999971,4.239873215,4.751976471,2.661600505
2.150000095,3.759777626,4.425136797,0.674063449
1.330000043,5.489432018,6.04414924,5.399409425
1.460000038,5.024604807,5.964115374,5.353387711
1.789999962,4.682556297,5.267198379,3.971497555
3.529999971,3.476299375,5.398683997,4.899112799
2.230000019,4.071130366,5.07381539,3.951158879
5.449999809,2.978100071,4.786385828,3.871553471
2.00999999,4.67944644,5.337251349,4.363963299
2.130000114,4.498334728,5.54986168,4.754008937
2.059999943,4.216268544,4.847335278,2.79983666
2.380000114,4.459975475,4.856403321,2.526270807
3.079999924,3.987692516,4.926608812,2.967106047
7.010000229,4.829678276,5.122056079,4.692287806
2.380000114,4.26751017,4.963447147,2.965026471
4.519999981,3.322315142,4.878063222,3.596673066
4.639999866,2.931860243,4.870623772,4.176826127
9.850000381,2.652337422,4.350566048,4.098605658
4.03000021,2.968753878,4.925891594,4.20081006
0.850000024,5.503666486,6.047730247,5.408605395
2.180000067,4.404681438,5.335581813,4.356827561
5.800000191,3.516712048,4.884412839,4.077646376
3.660000086,3.590148752,4.749515277,2.913813668
1.950000048,4.628857748,5.865693574,5.337739213
4.849999905,3.171495086,4.842657482,3.68104706
2.430000067,3.444856158,4.409759548,1.912297469
4.039999962,3.555649763,5.131069077,4.343713709
4.199999809,3.588080249,5.327416648,4.679232955
2.200000048,4.15825959,4.996503283,3.266605218
2.309999943,4.637944957,5.502582975,4.460567916
4.019999981,3.268438338,5.217128138,4.61468917
2.450000048,4.373581667,4.931012404,3.407831457
5.75,2.920948446,4.684376793,3.705202014
7.380000114,2.786105793,4.418789752,3.254841023
1.889999986,4.617301558,5.180348035,3.762366582
3.779999971,3.270021961,5.371936972,4.924343431
5.230000019,3.012152179,4.676309542,3.351206171
5.25,4.28944141,4.721301528,3.838118196
3.269999981,4.018657547,4.452279688,1.166370031
5.659999847,3.209580892,4.917954609,4.097577017
2.519999981,3.681003174,5.006058599,3.99069065
9.56000042,3.001695604,4.061866557,2.244336615
2.210000038,4.531230663,5.129688918,3.749446804
2.579999924,3.780676848,5.003540726,3.97211102
5.25,3.643364502,4.89324482,3.716452332
5.269999981,3.148973602,5.134900956,4.434718044
1.929999948,4.788749404,5.243404295,3.787327824
2.75999999,4.040613648,5.017207048,3.634073273
5.539999962,3.288062925,4.946260698,3.962957576
3.789999962,3.651762649,5.491598051,5.085931796
3.339999914,3.975921768,4.917141355,3.19050379
3.480000019,3.762351983,5.363238362,4.781796189
3.450000048,3.625632873,4.425595757,2.021157289
1.929999948,4.52131548,5.510638133,4.603491205
5.369999886,3.756510305,4.729533902,3.758118739
1.700000048,4.183461132,5.141945258,4.023059796
3.680000067,3.934420747,4.972685998,3.635004979
5.199999809,3.413984934,4.965383015,3.992830795
1.840000033,4.451881303,5.399415192,4.479142151
3.970000029,3.779786897,5.015113131,3.794955509
1.50999999,5.024604807,5.964115374,5.353387711
2.710000038,3.917289645,4.904313323,3.577861696
2.029999971,4.70799894,5.379484271,4.44599457
5.96999979,3.143491058,4.631374489,3.14641943
2.880000114,3.458323734,4.452182589,0.891365982
3.299999952,3.366381219,5.379269448,4.969884183
4.090000153,3.220407119,5.29704828,4.861193723
3.059999943,3.908784732,5.15059588,4.176260704
4,3.491124595,5.349626686,4.79053213
4.119999886,3.662903756,4.841805704,2.904822459
7.269999981,2.895505975,4.410790783,3.026677546
2.059999943,4.371168924,5.179271119,3.992578554
2.140000105,4.540796882,5.54473897,4.740875492
1.440000057,3.855814765,4.639361342,2.346071358
2.119999886,4.107289872,4.765760957,1.940923337
4.769999981,3.192942734,4.665366699,3.273206222
3.769999981,3.642196822,5.448505222,4.975482852
3.539999962,3.807987064,5.523128026,5.001992965
2.220000029,4.412581539,5.225856927,4.192632065
2.180000067,4.411926703,5.429443608,4.514912867
3.339999914,3.460163587,5.076006,4.264890165
2.809999943,4.186085408,5.074964156,3.611022476
2.49000001,4.507918324,5.32571601,4.283284232
4.510000229,2.758237491,5.031901144,4.60442055
2.99000001,3.88003608,5.28250564,4.577636244
3.660000086,3.848961976,5.231162481,4.368409108
2.109999895,4.57074568,5.127927444,3.721766989
6.039999962,2.887219104,4.808245679,4.014572653
1.960000038,4.531541448,5.391057795,4.258923416
1.659999967,4.613547877,5.519312702,4.727336361
4.190000057,3.225930006,5.115917251,4.515998195
5.869999886,3.444505988,4.717481339,3.35275994
2.150000095,4.097967017,5.047849256,4.006815695
1.720000029,5.138249518,5.556213693,4.371491367
2.039999962,4.479869425,5.380856741,4.425738769
2.089999914,4.220563535,4.986399153,3.634430543
2.730000019,3.300586179,4.636316626,2.395900512
2.099999905,4.836301307,5.416084898,4.177687691
1.769999981,4.69323524,5.600370099,4.813781417
2.220000029,4.071130366,5.07381539,3.951158879
4.099999905,3.678917325,4.886283797,3.474959933
5.269999981,3.158154562,4.806572045,3.767840578
3.140000105,4.04679746,5.316858697,4.495742223
2.24000001,4.679515035,5.196847591,3.701583061
4.440000057,3.597980739,5.215628171,4.597031235
4.130000114,3.09109546,4.764557341,3.390150281
2.160000086,4.587784047,5.114518633,3.790764681
1.600000024,3.762379393,4.644337903,2.118603121
3.130000114,4.146154073,5.47388284,4.732016332
5.550000191,3.123555224,4.700972806,3.281710444
5.829999924,3.463495601,4.774549443,3.555079188
2.359999895,4.226565856,4.801529319,2.385079355
6.849999905,2.679608308,4.537717623,3.701534945
7.329999924,2.819073711,4.360271779,3.055702774
6.519999981,2.737168633,4.40996149,2.541222594
2.680000067,4.064246021,4.854520583,3.058633118
2.349999905,3.58831494,4.757302343,2.965129095
2.460000038,3.380619699,4.344834778,0.765820908
6.269999981,3.624486124,4.457043741,1.23312795
3.25999999,3.575903064,4.962687529,3.99198187
4.119999886,3.283090341,5.199440073,4.642640607
5.010000229,3.342419482,4.833025825,3.625235175
3.5,3.621535225,4.640845169,2.985784681
2.730000019,3.828578887,4.665259616,2.115556807
2.279999971,4.33983339,5.025207868,3.495434122
4.230000019,3.072202522,4.763953139,3.379192756
2.24000001,4.596817624,5.109024561,3.502939695
5.829999924,3.482680675,4.961403528,4.115027464
6.25,3.301428179,4.653197828,3.486743662
2.75,3.886444736,5.00675222,3.861576195
1.529999971,4.680726858,5.400083752,4.321674155
7.480000019,3.144916703,4.596048891,3.770984991
3.349999905,4.00915711,4.950563934,3.110044505
3.230000019,3.50548122,5.251307668,4.49678438
1.309999943,5.437566752,6.030309114,5.38336433
2.130000114,4.372200282,4.85510073,2.025023224
4.519999981,3.718626039,5.038782633,4.164817036
5.019999981,3.085344053,4.762624573,3.77001306
2.420000076,4.059651414,4.627206746,0.864488229
2.420000076,4.42302349,5.356465603,4.456883865
2.339999914,5.239581905,5.646597309,4.598888406
1.480000019,4.084073481,5.285146455,4.487081335
6.46999979,2.913589503,4.522064576,3.258908712
2.569999933,4.391567304,5.237280369,4.041558291
2.690000057,4.492291082,4.908276066,3.029331007
3.180000067,3.398396763,5.330741578,4.892301748
2.829999924,3.657729869,4.740304862,2.961804547
4.269999981,3.646931359,4.818841037,3.271606549
3.930000067,3.616771846,4.841035675,3.068484381
3.369999886,3.192052164,5.292578031,4.840197817
2.720000029,3.930632652,4.862519624,2.935562615
3.75999999,3.257814875,5.242813477,4.603338699
2.380000114,4.214399147,5.097738529,3.913371563
4.019999981,3.718651546,4.871187351,3.486336316
3.650000095,3.384486116,5.442393425,5.032164883
5.429999828,2.960954424,5.168121481,4.707823133
3.380000114,3.957463947,4.969968077,3.440635968
2.069999933,4.642782169,5.243658754,4.171002769
1.50999999,5.061969882,5.687324435,4.926350405
2.970000029,3.980224923,4.760159541,2.082418763
5.389999866,2.902799839,4.819869148,4.323725321
4.559999943,4.127047821,5.012780474,4.189960626
6.059999943,3.100891133,4.850156054,4.175155572
3.650000095,3.534565759,5.072061646,4.287593687
3.450000048,3.504153461,4.889880758,3.709498051
3.609999895,3.718868781,4.904467444,3.452800789
2.950000048,4.088839011,5.040422454,3.869145448
2.440000057,4.019080479,4.914015241,3.117068815
2.230000019,4.292088897,5.291217692,4.352191775
2.170000076,4.251468605,5.28683083,4.406133533
2.109999895,4.635497392,5.378511287,4.325055244
3.710000038,3.904569261,5.168986942,4.268164827
1.279999971,5.299232269,5.792637945,4.960457134
3.380000114,3.98288192,5.184771444,3.904792163
3.579999924,4.062041182,4.737034954,3.12666261
5.329999924,2.948459855,4.776420016,3.857381839
3.980000019,3.692865084,5.270296936,4.653475234
2.430000067,4.087808751,4.914307074,2.885517948
1.460000038,5.207315572,5.797227404,4.966615539
7.070000172,2.649318326,4.78140415,4.21243106
2.829999924,4.347217657,5.389253492,4.301541055
6.159999847,3.416401869,4.864041634,4.040215895
2.470000029,3.827011724,4.775211437,3.226324151
4.039999962,3.555649763,5.131069077,4.343713709
1.74000001,4.55540227,5.365741916,4.290149635
3.109999895,3.916648223,5.014655153,3.566368429
1.789999962,4.56886473,5.050909368,3.580560303
2.069999933,4.487273729,5.299822995,4.182428944
4.449999809,3.040428995,4.838482972,3.55531641
3.079999924,4.184296368,5.417261624,4.439603958
9.850000381,2.652337422,4.350566048,4.098605658
5.820000172,3.382722199,4.722820645,3.586614671
1.830000043,3.795807901,4.397538734,-0.178841296
1.429999948,4.020715994,5.281820943,4.416586089
5.389999866,3.40578539,4.508213673,2.834478071
5.489999771,3.074085129,4.408338356,2.700617531
3.289999962,4.008892287,5.386494713,4.712394556
3.730000019,3.824731314,5.418910652,4.808097876
6.389999866,2.970507586,4.664147443,3.826322373
4.960000038,3.499062027,5.068695644,4.272092945
3.769999981,3.067494508,5.287440345,4.906994623
2.289999962,3.964066921,4.740623876,2.718636898
4.940000057,3.549512036,4.421264101,1.458406615
3.940000057,3.570748216,4.779484967,2.727674939
5.840000153,3.32836598,4.842942755,4.00153445
3.769999981,3.642196822,5.448505222,4.975482852
4.239999771,3.366719884,5.001269593,4.301416711
8.630000114,5.03839317,5.428251525,5.073743475
3.400000095,3.981326005,5.166822608,4.074225285
2.130000114,3.650988543,4.500352566,1.086453835
6.230000019,3.369033386,4.895241461,4.091095802
6.599999905,2.978576005,4.632803796,3.769229022
2.180000067,4.490412402,5.482553158,4.634107801
3.349999905,3.887879792,5.480277495,4.960434127
4.289999962,2.731588805,4.999667427,4.493987393
1.600000024,3.721319766,4.462600861,0.419462318
3.039999962,3.469047187,5.09946225,4.310573254
2.25999999,3.925360471,5.35980432,4.657504496
3.599999905,3.71893887,5.16508718,4.276941829
2.5,4.353295308,5.170124484,3.901377214
5.429999828,2.880315486,4.624761458,3.510448464
2.50999999,4.247396057,5.241950705,4.240526093
1.710000038,4.94820138,5.773985829,4.962450533
3.849999905,4.007682501,4.649012706,2.703706151
6.800000191,2.581559975,4.796919679,4.181420351
5.389999866,3.24136916,4.846134944,3.828376288
2.109999895,4.337696351,5.197076758,3.929365716
3.480000019,3.857898943,5.474693221,4.901465781
3.680000067,3.710803479,5.229801446,4.475226686
6.190000057,3.568278087,4.508178943,2.403579452
2.670000076,4.102905386,5.242450002,4.353469044
6.090000153,3.439729829,4.521485789,1.681533607
5.25,2.940743515,4.572158331,3.309586021
9.079999924,2.602504553,4.418205181,3.822321372
2.24000001,4.063741435,4.50374984,1.528903696
2.720000029,3.833896266,4.896422801,3.489821393
2.140000105,4.499086335,5.314960226,4.261940681
1.600000024,3.743716577,4.552226628,1.230574948
2.619999886,4.490297494,4.977741749,3.113213358
2.319999933,4.694224259,5.51881514,4.435487938
2.25999999,4.613303568,5.238018223,4.008293427
3.480000019,4.08384712,5.034071819,3.668722525
3.880000114,3.039603527,4.227827891,0.673982758
2.789999962,4.238950115,4.855826058,2.765084497
3.789999962,3.356407661,5.292026175,4.771755866
3.680000067,3.564255033,5.132186756,4.417661098
